"","Chrom","pOXA-48","pKP112","pOXA-48_30715","pOXA-48_k8"
"479","Bordetella_pertussis_Tohama_I_",138,138,57,83
"2392","Bordetella_pertussis_Tohama_I_",138,138,57,83
"219","Bordetella_petrii_",96,104,0,15
"2132","Bordetella_petrii_",96,104,0,15
"261","Bordetella_trematum_",42,42,0,40
"2174","Bordetella_trematum_",42,42,0,40
"859","Borrelia_afzelii_PKo_",65,65,65,65
"2772","Borrelia_afzelii_PKo_",65,65,65,65
"1216","Borrelia_bissettii_DN127_",70,70,70,70
"3129","Borrelia_bissettii_DN127_",70,70,70,70
"972","Borrelia_duttonii_Ly_",73,73,73,73
"2885","Borrelia_duttonii_Ly_",73,73,73,73
"584","Borrelia_garinii_PBi_",75,75,75,75
"2497","Borrelia_garinii_PBi_",75,75,75,75
"658","Borrelia_hermsii_HS1_",104,104,76,76
"2571","Borrelia_hermsii_HS1_",104,104,76,76
"1374","Brachyspira_hyodysenteriae_WA1_",67,52,52,66
"3287","Brachyspira_hyodysenteriae_WA1_",67,52,52,66
"1852","Brachyspira_pilosicoli_95-1000_",45,45,45,45
"3765","Brachyspira_pilosicoli_95-1000_",45,45,45,45
"1742","Bradyrhizobiaceae_bacterium_SG-6C_",87,108,0,22
"3655","Bradyrhizobiaceae_bacterium_SG-6C_",87,108,0,22
"919","Bradyrhizobium_elkanii_USDA_76_",35,35,0,26
"2832","Bradyrhizobium_elkanii_USDA_76_",35,35,0,26
"570","Bradyrhizobium_sp._BTAi1_",94,94,0,59
"2483","Bradyrhizobium_sp._BTAi1_",94,94,0,59
"251","Bradyrhizobium_sp._ORS_278_",127,132,72,105
"2164","Bradyrhizobium_sp._ORS_278_",127,132,72,105
"736","Bradyrhizobium_sp._S23321_",136,136,82,104
"2649","Bradyrhizobium_sp._S23321_",136,136,82,104
"685","Bradyrhizobium_sp._WSM1253_",38,70,0,29
"2598","Bradyrhizobium_sp._WSM1253_",38,70,0,29
"1495","Brenneria_sp._EniD312_",35,35,0,22
"3408","Brenneria_sp._EniD312_",35,35,0,22
"789","Brevibacillus_brevis_NBRC_100599_",179,179,93,115
"2702","Brevibacillus_brevis_NBRC_100599_",179,179,93,115
"694","Brevibacterium_linens_BL2_",0,2,0,26
"2607","Brevibacterium_linens_BL2_",0,2,0,26
"1449","Brevibacterium_mcbrellneri_ATCC_49030_",38,38,38,57
"3362","Brevibacterium_mcbrellneri_ATCC_49030_",38,38,38,57
"1456","Brevundimonas_naejangsanensis_",0,0,0,18
"3369","Brevundimonas_naejangsanensis_",0,0,0,18
"876","Brevundimonas_sp._BAL3_",24,24,0,20
"2789","Brevundimonas_sp._BAL3_",24,24,0,20
"1530","Brevundimonas_subvibrioides_ATCC_15264_",0,0,0,18
"3443","Brevundimonas_subvibrioides_ATCC_15264_",0,0,0,18
"408","Brucella_melitensis_bv._1_str._16M_",83,83,63,104
"2321","Brucella_melitensis_bv._1_str._16M_",83,83,63,104
"488","Buchnera_aphidicola_",42,42,42,42
"2401","Buchnera_aphidicola_",42,42,42,42
"816","Buchnera_aphidicola_BCc_",47,47,47,47
"2729","Buchnera_aphidicola_BCc_",47,47,47,47
"409","Buchnera_aphidicola_str._Bp_",34,34,34,34
"2322","Buchnera_aphidicola_str._Bp_",34,34,34,34
"347","Buchnera_aphidicola_str._Sg_",38,38,38,38
"2260","Buchnera_aphidicola_str._Sg_",38,38,38,38
"1666","Bulleidia_extructa_W1219_",13,13,0,13
"3579","Bulleidia_extructa_W1219_",13,13,0,13
"743","Burkholderia_ambifaria_AMMD_",35,35,0,27
"2656","Burkholderia_ambifaria_AMMD_",35,35,0,27
"383","Burkholderia_cenocepacia_J2315_",171,145,98,129
"2296","Burkholderia_cenocepacia_J2315_",171,145,98,129
"3","Burkholderia_cepacia_",190,260,72,180
"1916","Burkholderia_cepacia_",190,260,72,180
"1512","Burkholderia_glumae_BGR1_",25,25,0,24
"3425","Burkholderia_glumae_BGR1_",25,25,0,24
"444","Burkholderia_mallei_ATCC_23344_",28,28,0,25
"2357","Burkholderia_mallei_ATCC_23344_",28,28,0,25
"897","Burkholderia_multivorans_ATCC_17616_",94,121,12,87
"2810","Burkholderia_multivorans_ATCC_17616_",94,121,12,87
"747","Burkholderia_oklahomensis_",130,132,92,129
"2660","Burkholderia_oklahomensis_",130,132,92,129
"867","Burkholderia_phymatum_STM815_",29,29,0,24
"2780","Burkholderia_phymatum_STM815_",29,29,0,24
"920","Burkholderia_phytofirmans_PsJN_",31,31,0,24
"2833","Burkholderia_phytofirmans_PsJN_",31,31,0,24
"533","Burkholderia_pseudomallei_K96243_",105,113,74,97
"2446","Burkholderia_pseudomallei_K96243_",105,113,74,97
"285","Burkholderia_sacchari_",35,35,0,32
"2198","Burkholderia_sacchari_",35,35,0,32
"340","Burkholderia_sordidicola_",0,0,0,24
"2253","Burkholderia_sordidicola_",0,0,0,24
"1554","Burkholderia_sp._CCGE1001_",28,28,0,27
"3467","Burkholderia_sp._CCGE1001_",28,28,0,27
"1555","Burkholderia_sp._CCGE1002_",28,28,0,22
"3468","Burkholderia_sp._CCGE1002_",28,28,0,22
"1556","Burkholderia_sp._CCGE1003_",31,31,0,27
"3469","Burkholderia_sp._CCGE1003_",31,31,0,27
"522","Burkholderia_vietnamiensis_G4_",31,31,0,24
"2435","Burkholderia_vietnamiensis_G4_",31,31,0,24
"510","Burkholderia_xenovorans_LB400_",40,95,0,25
"2423","Burkholderia_xenovorans_LB400_",40,95,0,25
"1100","Burkholderiales_bacterium_1_1_47_",78,78,0,30
"3013","Burkholderiales_bacterium_1_1_47_",78,78,0,30
"1201","Butyrivibrio_proteoclasticus_B316_",0,0,0,16
"3114","Butyrivibrio_proteoclasticus_B316_",0,0,0,16
"549","Caldanaerobacter_subterraneus_subsp._tengcongensis_MB4_",74,45,45,45
"2462","Caldanaerobacter_subterraneus_subsp._tengcongensis_MB4_",74,45,45,45
"1191","Caldisericum_exile_AZM16c01_",102,102,49,49
"3104","Caldisericum_exile_AZM16c01_",102,102,49,49
"1893","Calditerrivibrio_nitroreducens_DSM_19672_",26,26,0,0
"3806","Calditerrivibrio_nitroreducens_DSM_19672_",26,26,0,0
"226","Calothrix_sp._PCC_7507_",22,22,0,0
"2139","Calothrix_sp._PCC_7507_",22,22,0,0
"793","Campylobacter_concisus_13826_",124,124,53,53
"2706","Campylobacter_concisus_13826_",124,124,53,53
"794","Campylobacter_fetus_subsp._fetus_82-40_",21,21,0,0
"2707","Campylobacter_fetus_subsp._fetus_82-40_",21,21,0,0
"1334","Campylobacter_gracilis_RM3268_",92,92,33,33
"3247","Campylobacter_gracilis_RM3268_",92,92,33,33
"795","Campylobacter_hominis_ATCC_BAA-381_",22,22,0,0
"2708","Campylobacter_hominis_ATCC_BAA-381_",22,22,0,0
"1677","Campylobacter_jejuni_subsp._jejuni_414_",111,111,27,27
"3590","Campylobacter_jejuni_subsp._jejuni_414_",111,111,27,27
"780","Campylobacter_jejuni_subsp._jejuni_81-176_",140,140,38,38
"2693","Campylobacter_jejuni_subsp._jejuni_81-176_",140,140,38,38
"332","Campylobacter_jejuni_subsp._jejuni_NCTC_11168_=_ATCC_700819_",155,155,62,113
"2245","Campylobacter_jejuni_subsp._jejuni_NCTC_11168_=_ATCC_700819_",155,155,62,113
"608","Campylobacter_lari_RM2100_",122,122,43,58
"2521","Campylobacter_lari_RM2100_",122,122,43,58
"1332","Campylobacter_rectus_RM3267_",20,20,0,0
"3245","Campylobacter_rectus_RM3267_",20,20,0,0
"1333","Campylobacter_showae_RM3277_",20,20,0,0
"3246","Campylobacter_showae_RM3277_",20,20,0,0
"609","Campylobacter_upsaliensis_RM3195_",78,78,34,34
"2522","Campylobacter_upsaliensis_RM3195_",78,78,34,34
"19","Campylobacter_ureolyticus_",82,82,24,24
"1932","Campylobacter_ureolyticus_",82,82,24,24
"1226","Candidatus_Accumulibacter_phosphatis_clade_IIA_str._UW-1_",31,31,0,21
"3139","Candidatus_Accumulibacter_phosphatis_clade_IIA_str._UW-1_",31,31,0,21
"1652","Candidatus_Babela_massiliensis_",58,58,58,82
"3565","Candidatus_Babela_massiliensis_",58,58,58,82
"361","Candidatus_Blochmannia_floridanus_",30,30,30,30
"2274","Candidatus_Blochmannia_floridanus_",30,30,30,30
"588","Candidatus_Blochmannia_pennsylvanicus_str._BPEN_",32,32,32,32
"2501","Candidatus_Blochmannia_pennsylvanicus_str._BPEN_",32,32,32,32
"1076","Candidatus_Cloacimonas_acidaminovorans_str._Evry_",28,28,0,0
"2989","Candidatus_Cloacimonas_acidaminovorans_str._Evry_",28,28,0,0
"1123","Candidatus_Desulforudis_audaxviator_MP104C_",87,87,0,11
"3036","Candidatus_Desulforudis_audaxviator_MP104C_",87,87,0,11
"1393","Candidatus_Hamiltonella_defensa_5AT_",99,99,64,84
"3306","Candidatus_Hamiltonella_defensa_5AT_",99,99,64,84
"363","Candidatus_Koribacter_versatilis_Ellin345_",24,24,0,0
"2276","Candidatus_Koribacter_versatilis_Ellin345_",24,24,0,0
"1279","Candidatus_Liberibacter_asiaticus_str._psy62_",29,29,0,5
"3192","Candidatus_Liberibacter_asiaticus_str._psy62_",29,29,0,5
"1651","Candidatus_Methylomirabilis_oxyfera_",60,60,0,20
"3564","Candidatus_Methylomirabilis_oxyfera_",60,60,0,20
"720","Candidatus_Nitrospira_defluvii_",125,165,52,63
"2633","Candidatus_Nitrospira_defluvii_",125,165,52,63
"1018","Candidatus_Pelagibacter_sp._HTCC7211_",53,93,32,32
"2931","Candidatus_Pelagibacter_sp._HTCC7211_",53,93,32,32
"737","Candidatus_Pelagibacter_ubique_HTCC1062_",84,97,58,76
"2650","Candidatus_Pelagibacter_ubique_HTCC1062_",84,97,58,76
"74","Candidatus_Photodesmus_katoptron_",46,46,42,59
"1987","Candidatus_Photodesmus_katoptron_",46,46,42,59
"136","Candidatus_Phytoplasma_australiense_",35,35,35,35
"2049","Candidatus_Phytoplasma_australiense_",35,35,35,35
"498","Candidatus_Protochlamydia_amoebophila_UWE25_",91,96,72,77
"2411","Candidatus_Protochlamydia_amoebophila_UWE25_",91,96,72,77
"1153","Candidatus_Puniceispirillum_marinum_IMCC1322_",29,29,0,0
"3066","Candidatus_Puniceispirillum_marinum_IMCC1322_",29,29,0,0
"1625","Candidatus_Regiella_insecticola_LSR1_",63,63,45,71
"3538","Candidatus_Regiella_insecticola_LSR1_",63,63,45,71
"1266","Candidatus_Rhodoluna_lacicola_",0,0,0,25
"3179","Candidatus_Rhodoluna_lacicola_",0,0,0,25
"975","Candidatus_Ruthia_magnifica_str._Cm_",15,15,0,0
"2888","Candidatus_Ruthia_magnifica_str._Cm_",15,15,0,0
"434","Candidatus_Scalindua_brodae_",32,34,14,14
"2347","Candidatus_Scalindua_brodae_",32,34,14,14
"64","Candidatus_Sodalis_pierantonius_str._SOPE_",51,53,46,68
"1977","Candidatus_Sodalis_pierantonius_str._SOPE_",51,53,46,68
"425","Candidatus_Solibacter_usitatus_Ellin6076_",0,0,0,6
"2338","Candidatus_Solibacter_usitatus_Ellin6076_",0,0,0,6
"974","Candidatus_Vesicomyosocius_okutanii_HA_",55,55,43,43
"2887","Candidatus_Vesicomyosocius_okutanii_HA_",55,55,43,43
"1327","Capnocytophaga_gingivalis_ATCC_33624_",0,0,0,15
"3240","Capnocytophaga_gingivalis_ATCC_33624_",0,0,0,15
"1326","Capnocytophaga_sputigena_ATCC_33612_",28,28,0,14
"3239","Capnocytophaga_sputigena_ATCC_33612_",28,28,0,14
"461","Carboxydothermus_hydrogenoformans_Z-2901_",34,34,0,33
"2374","Carboxydothermus_hydrogenoformans_Z-2901_",34,34,0,33
"372","Carnobacterium_sp._17-4_",52,52,0,0
"2285","Carnobacterium_sp._17-4_",52,52,0,0
"1129","Catenulispora_acidiphila_DSM_44928_",0,0,0,10
"3042","Catenulispora_acidiphila_DSM_44928_",0,0,0,10
"330","Caulobacter_crescentus_CB15_",89,89,58,76
"2243","Caulobacter_crescentus_CB15_",89,89,58,76
"1188","Caulobacter_segnis_ATCC_21756_",0,0,0,16
"3101","Caulobacter_segnis_ATCC_21756_",0,0,0,16
"807","Caulobacter_sp._K31_",0,0,0,17
"2720","Caulobacter_sp._K31_",0,0,0,17
"283","Cedecea_neteri_",90,90,0,133
"2196","Cedecea_neteri_",90,90,0,133
"1044","Cellulomonas_flavigena_DSM_20109_",0,0,0,15
"2957","Cellulomonas_flavigena_DSM_20109_",0,0,0,15
"1690","Cellulophaga_algicola_DSM_14237_",22,22,0,0
"3603","Cellulophaga_algicola_DSM_14237_",22,22,0,0
"1168","Cellvibrio_japonicus_Ueda107_",143,169,65,98
"3081","Cellvibrio_japonicus_Ueda107_",143,169,65,98
"513","Chelativorans_sp._BNC1_",26,26,0,21
"2426","Chelativorans_sp._BNC1_",26,26,0,21
"1149","Chitinophaga_pinensis_DSM_2588_",24,24,0,0
"3062","Chitinophaga_pinensis_DSM_2588_",24,24,0,0
"445","Chlamydia_muridarum_str._Nigg_",59,59,41,45
"2358","Chlamydia_muridarum_str._Nigg_",59,59,41,45
"724","Chlamydia_psittaci_6BC_",0,0,0,4
"2637","Chlamydia_psittaci_6BC_",0,0,0,4
"18","Chlamydia_trachomatis_",64,64,40,44
"1931","Chlamydia_trachomatis_",64,64,40,44
"393","Chlamydophila_abortus_S26-3_",0,0,0,4
"2306","Chlamydophila_abortus_S26-3_",0,0,0,4
"416","Chlamydophila_caviae_GPIC_",54,54,42,45
"2329","Chlamydophila_caviae_GPIC_",54,54,42,45
"499","Chlamydophila_felis_Fe-C-56_",59,59,39,42
"2412","Chlamydophila_felis_Fe-C-56_",59,59,39,42
"723","Chlamydophila_pecorum_E58_",17,17,0,3
"2636","Chlamydophila_pecorum_E58_",17,17,0,3
"252","Chlamydophila_pneumoniae_AR39_",55,55,42,47
"2165","Chlamydophila_pneumoniae_AR39_",55,55,42,47
"253","Chlamydophila_pneumoniae_CWL029_",62,62,45,50
"2166","Chlamydophila_pneumoniae_CWL029_",62,62,45,50
"319","Chlamydophila_pneumoniae_TW-183_",43,43,43,48
"2232","Chlamydophila_pneumoniae_TW-183_",43,43,43,48
"1203","Chlorobaculum_parvum_NCIB_8327_",68,68,0,7
"3116","Chlorobaculum_parvum_NCIB_8327_",68,68,0,7
"746","Chlorobium_chlorochromatii_CaD3_",50,50,0,0
"2659","Chlorobium_chlorochromatii_CaD3_",50,50,0,0
"575","Chlorobium_limicola_DSM_245_",44,44,0,3
"2488","Chlorobium_limicola_DSM_245_",44,44,0,3
"687","Chlorobium_luteolum_DSM_273_",43,43,0,4
"2600","Chlorobium_luteolum_DSM_273_",43,43,0,4
"725","Chlorobium_phaeobacteroides_BS1_",41,41,0,5
"2638","Chlorobium_phaeobacteroides_BS1_",41,41,0,5
"576","Chlorobium_phaeobacteroides_DSM_266_",47,47,0,0
"2489","Chlorobium_phaeobacteroides_DSM_266_",47,47,0,0
"577","Chlorobium_phaeovibrioides_DSM_265_",46,46,0,0
"2490","Chlorobium_phaeovibrioides_DSM_265_",46,46,0,0
"333","Chlorobium_tepidum_TLS_",0,0,0,6
"2246","Chlorobium_tepidum_TLS_",0,0,0,6
"715","Chloroflexus_aggregans_DSM_9485_",35,35,0,0
"2628","Chloroflexus_aggregans_DSM_9485_",35,35,0,0
"705","Chloroflexus_aurantiacus_J-10-fl_",33,33,0,0
"2618","Chloroflexus_aurantiacus_J-10-fl_",33,33,0,0
"1204","Chloroherpeton_thalassium_ATCC_35110_",21,21,0,5
"3117","Chloroherpeton_thalassium_ATCC_35110_",21,21,0,5
"457","Chromobacterium_violaceum_ATCC_12472_",182,182,146,164
"2370","Chromobacterium_violaceum_ATCC_12472_",182,182,146,164
"580","Chromohalobacter_salexigens_DSM_3043_",31,31,0,23
"2493","Chromohalobacter_salexigens_DSM_3043_",31,31,0,23
"473","Chroococcidiopsis_thermalis_PCC_7203_",21,21,0,0
"2386","Chroococcidiopsis_thermalis_PCC_7203_",21,21,0,0
"1238","Chryseobacterium_gleum_ATCC_35910_",0,89,0,10
"3151","Chryseobacterium_gleum_ATCC_35910_",0,89,0,10
"1352","Chryseobacterium_piperi_",15,15,0,0
"3265","Chryseobacterium_piperi_",15,15,0,0
"1034","Chryseobacterium_soli_",18,18,0,0
"2947","Chryseobacterium_soli_",18,18,0,0
"1886","Citreicella_sp._357_",22,22,0,0
"3799","Citreicella_sp._357_",22,22,0,0
"1178","Citreicella_sp._SE45_",32,32,0,0
"3091","Citreicella_sp._SE45_",32,32,0,0
"94","Citrobacter_amalonaticus_",34,34,0,22
"2007","Citrobacter_amalonaticus_",34,34,0,22
"1544","Citrobacter_rodentium_ICC168_",135,112,97,147
"3457","Citrobacter_rodentium_ICC168_",135,112,97,147
"1177","Citrobacter_youngae_ATCC_29220_",93,82,0,65
"3090","Citrobacter_youngae_ATCC_29220_",93,82,0,65
"1032","Clavibacter_michiganensis_subsp._michiganensis_NCPPB_382_",50,50,43,64
"2945","Clavibacter_michiganensis_subsp._michiganensis_NCPPB_382_",50,50,43,64
"83","Clavibacter_michiganensis_subsp._sepedonicus_",26,26,0,0
"1996","Clavibacter_michiganensis_subsp._sepedonicus_",26,26,0,0
"1069","Clostridiales_bacterium_1_7_47FAA_",107,107,0,0
"2982","Clostridiales_bacterium_1_7_47FAA_",107,107,0,0
"534","Clostridium_acetobutylicum_ATCC_824_",68,68,0,23
"2447","Clostridium_acetobutylicum_ATCC_824_",68,68,0,23
"583","Clostridium_beijerinckii_NCIMB_8052_",44,44,0,0
"2496","Clostridium_beijerinckii_NCIMB_8052_",44,44,0,0
"1274","Clostridium_botulinum_A2_str._Kyoto_",48,48,48,58
"3187","Clostridium_botulinum_A2_str._Kyoto_",48,48,48,58
"1033","Clostridium_botulinum_NCTC_2916_",59,59,63,77
"2946","Clostridium_botulinum_NCTC_2916_",59,59,63,77
"1524","Clostridium_butyricum_E4_str._BoNT_E_BL5262_",32,32,0,0
"3437","Clostridium_butyricum_E4_str._BoNT_E_BL5262_",32,32,0,0
"1273","Clostridium_carboxidivorans_P7_",37,37,0,0
"3186","Clostridium_carboxidivorans_P7_",37,37,0,0
"1294","Clostridium_celatum_DSM_1785_",29,29,0,0
"3207","Clostridium_celatum_DSM_1785_",29,29,0,0
"896","Clostridium_cellulolyticum_H10_",17,17,0,0
"2809","Clostridium_cellulolyticum_H10_",17,17,0,0
"1000","Clostridium_kluyveri_DSM_555_",41,41,0,13
"2913","Clostridium_kluyveri_DSM_555_",41,41,0,13
"1830","Clostridium_ljungdahlii_DSM_13528_",67,74,0,17
"3743","Clostridium_ljungdahlii_DSM_13528_",67,74,0,17
"847","Clostridium_novyi_NT_",20,20,0,51
"2760","Clostridium_novyi_NT_",20,20,0,51
"206","Clostridium_pasteurianum_BC1_",29,29,0,0
"2119","Clostridium_pasteurianum_BC1_",29,29,0,0
"335","Clostridium_perfringens_ATCC_13124_",53,53,26,48
"2248","Clostridium_perfringens_ATCC_13124_",53,53,26,48
"1064","Clostridium_sp._7_2_43FAA_",40,40,0,0
"2977","Clostridium_sp._7_2_43FAA_",40,40,0,0
"1558","Clostridium_sp._DL-VIII_",38,38,0,0
"3471","Clostridium_sp._DL-VIII_",38,38,0,0
"967","Clostridium_sp._L2-50_",0,0,0,12
"2880","Clostridium_sp._L2-50_",0,0,0,12
"76","Cobetia_marina_",0,0,0,17
"1989","Cobetia_marina_",0,0,0,17
"258","Coleofasciculus_chthonoplastes_PCC_7420_",23,23,0,0
"2171","Coleofasciculus_chthonoplastes_PCC_7420_",23,23,0,0
"1215","Collinsella_intestinalis_DSM_13280_",0,0,0,34
"3128","Collinsella_intestinalis_DSM_13280_",0,0,0,34
"1781","Collinsella_sp._4_8_47FAA_",23,23,0,0
"3694","Collinsella_sp._4_8_47FAA_",23,23,0,0
"1040","Collinsella_stercoris_DSM_13279_",0,0,0,31
"2953","Collinsella_stercoris_DSM_13279_",0,0,0,31
"1687","Comamonas_testosteroni_CNB-2_",27,27,0,18
"3600","Comamonas_testosteroni_CNB-2_",27,27,0,18
"929","Comamonas_testosteroni_KF-1_",29,120,0,23
"2842","Comamonas_testosteroni_KF-1_",29,120,0,23
"1094","Conexibacter_woesei_DSM_14684_",24,24,0,0
"3007","Conexibacter_woesei_DSM_14684_",24,24,0,0
"652","Congregibacter_litoralis_KT71_",23,23,0,23
"2565","Congregibacter_litoralis_KT71_",23,23,0,23
"962","Coprococcus_eutactus_ATCC_27759_",13,13,0,18
"2875","Coprococcus_eutactus_ATCC_27759_",13,13,0,18
"613","Coprothermobacter_proteolyticus_DSM_5265_",43,43,43,86
"2526","Coprothermobacter_proteolyticus_DSM_5265_",43,43,43,86
"1433","Coraliomargarita_akajimensis_DSM_45221_",19,19,0,8
"3346","Coraliomargarita_akajimensis_DSM_45221_",19,19,0,8
"1239","Corynebacterium_accolens_ATCC_49725_",0,0,0,24
"3152","Corynebacterium_accolens_ATCC_49725_",0,0,0,24
"1595","Corynebacterium_ammoniagenes_DSM_20306_",0,11,0,16
"3508","Corynebacterium_ammoniagenes_DSM_20306_",0,11,0,16
"1329","Corynebacterium_amycolatum_SK46_",0,51,0,15
"3242","Corynebacterium_amycolatum_SK46_",0,51,0,15
"331","Corynebacterium_atypicum_",0,0,0,15
"2244","Corynebacterium_atypicum_",0,0,0,15
"1312","Corynebacterium_aurimucosum_ATCC_700975_",19,19,0,22
"3225","Corynebacterium_aurimucosum_ATCC_700975_",19,19,0,22
"1718","Corynebacterium_diphtheriae_PW8_",29,42,0,18
"3631","Corynebacterium_diphtheriae_PW8_",29,42,0,18
"1354","Corynebacterium_doosanense_CAU_212_=_DSM_45436_",0,0,0,16
"3267","Corynebacterium_doosanense_CAU_212_=_DSM_45436_",0,0,0,16
"1448","Corynebacterium_genitalium_ATCC_33030_",0,53,0,24
"3361","Corynebacterium_genitalium_ATCC_33030_",0,53,0,24
"1313","Corynebacterium_glucuronolyticum_ATCC_51867_",0,64,0,15
"3226","Corynebacterium_glucuronolyticum_ATCC_51867_",0,64,0,15
"342","Corynebacterium_glutamicum_ATCC_13032_",81,94,38,60
"2255","Corynebacterium_glutamicum_ATCC_13032_",81,94,38,60
"277","Corynebacterium_imitans_",36,49,0,19
"2190","Corynebacterium_imitans_",36,49,0,19
"611","Corynebacterium_jeikeium_K411_",27,42,0,0
"2524","Corynebacterium_jeikeium_K411_",27,42,0,0
"1582","Corynebacterium_kroppenstedtii_DSM_44385_",25,25,25,25
"3495","Corynebacterium_kroppenstedtii_DSM_44385_",25,25,25,25
"1240","Corynebacterium_lipophiloflavum_DSM_44291_",37,37,0,26
"3153","Corynebacterium_lipophiloflavum_DSM_44291_",37,37,0,26
"1330","Corynebacterium_matruchotii_ATCC_14266_",0,0,0,22
"3243","Corynebacterium_matruchotii_ATCC_14266_",0,0,0,22
"1241","Corynebacterium_pseudogenitalium_ATCC_33035_",0,56,0,21
"3154","Corynebacterium_pseudogenitalium_ATCC_33035_",0,56,0,21
"44","Corynebacterium_pseudotuberculosis_",48,33,0,120
"1957","Corynebacterium_pseudotuberculosis_",48,33,0,120
"1623","Corynebacterium_resistens_DSM_45100_",28,28,0,28
"3536","Corynebacterium_resistens_DSM_45100_",28,28,0,28
"1242","Corynebacterium_striatum_ATCC_6940_",24,47,0,24
"3155","Corynebacterium_striatum_ATCC_6940_",24,47,0,24
"1183","Corynebacterium_urealyticum_DSM_7109_",19,19,0,0
"3096","Corynebacterium_urealyticum_DSM_7109_",19,19,0,0
"414","Coxiella_burnetii_RSA_493_",82,82,63,45
"2327","Coxiella_burnetii_RSA_493_",82,82,63,45
"1092","Cryptobacterium_curtum_DSM_15641_",78,78,0,0
"3005","Cryptobacterium_curtum_DSM_15641_",78,78,0,0
"509","Cupriavidus_metallidurans_CH34_",73,105,0,10
"2422","Cupriavidus_metallidurans_CH34_",73,105,0,10
"1843","Cyanobacterium_aponinum_PCC_10605_",22,22,0,0
"3756","Cyanobacterium_aponinum_PCC_10605_",22,22,0,0
"317","Cyanobium_sp._PCC_7001_",72,158,52,52
"2230","Cyanobium_sp._PCC_7001_",72,158,52,52
"113","Cyanothece_sp._ATCC_51142_",56,82,35,35
"2026","Cyanothece_sp._ATCC_51142_",56,82,35,35
"878","Cyanothece_sp._CCY0110_",23,23,0,0
"2791","Cyanothece_sp._CCY0110_",23,23,0,0
"149","Cyanothece_sp._PCC_7424_",23,23,0,0
"2062","Cyanothece_sp._PCC_7424_",23,23,0,0
"1167","Cyanothece_sp._PCC_7822_",20,20,0,0
"3080","Cyanothece_sp._PCC_7822_",20,20,0,0
"108","Cyanothece_sp._PCC_8801_",25,25,0,0
"2021","Cyanothece_sp._PCC_8801_",25,25,0,0
"1269","Cylindrospermopsis_raciborskii_CS-505_",26,26,0,0
"3182","Cylindrospermopsis_raciborskii_CS-505_",26,26,0,0
"129","Cylindrospermum_stagnale_PCC_7417_",23,23,0,0
"2042","Cylindrospermum_stagnale_PCC_7417_",23,23,0,0
"525","Cytophaga_hutchinsonii_ATCC_33406_",66,74,49,56
"2438","Cytophaga_hutchinsonii_ATCC_33406_",66,74,49,56
"67","Dactylococcopsis_salina_PCC_8305_",17,17,0,0
"1980","Dactylococcopsis_salina_PCC_8305_",17,17,0,0
"284","Dechloromonas_aromatica_RCB_",32,32,0,39
"2197","Dechloromonas_aromatica_RCB_",32,32,0,39
"1552","Dechlorosoma_suillum_PS_",28,97,0,0
"3465","Dechlorosoma_suillum_PS_",28,97,0,0
"1550","Deferribacter_desulfuricans_SSM1_",159,211,66,104
"3463","Deferribacter_desulfuricans_SSM1_",159,211,66,104
"446","Dehalococcoides_mccartyi_195_",67,67,52,57
"2359","Dehalococcoides_mccartyi_195_",67,67,52,57
"477","Dehalococcoides_mccartyi_CBDB1_",68,68,51,61
"2390","Dehalococcoides_mccartyi_CBDB1_",68,68,51,61
"620","Dehalococcoides_mccartyi_VS_",68,68,54,54
"2533","Dehalococcoides_mccartyi_VS_",68,68,54,54
"1322","Dehalogenimonas_lykanthroporepellens_BL-DC-9_",16,16,0,0
"3235","Dehalogenimonas_lykanthroporepellens_BL-DC-9_",16,16,0,0
"1306","Deinococcus_deserti_VCD115_",90,90,64,64
"3219","Deinococcus_deserti_VCD115_",90,90,64,64
"689","Deinococcus_geothermalis_DSM_11300_",21,21,0,0
"2602","Deinococcus_geothermalis_DSM_11300_",21,21,0,0
"1820","Deinococcus_gobiensis_I-0_",50,67,46,46
"3733","Deinococcus_gobiensis_I-0_",50,67,46,46
"1743","Deinococcus_maricopensis_DSM_21211_",21,21,0,0
"3656","Deinococcus_maricopensis_DSM_21211_",21,21,0,0
"447","Deinococcus_radiodurans_R1_",63,63,45,45
"2360","Deinococcus_radiodurans_R1_",63,63,45,45
"921","Delftia_acidovorans_SPH-1_",31,89,0,26
"2834","Delftia_acidovorans_SPH-1_",31,89,0,26
"1228","Denitrovibrio_acetiphilus_DSM_12809_",28,28,0,0
"3141","Denitrovibrio_acetiphilus_DSM_12809_",28,28,0,0
"324","Dermacoccus_sp._Ellin185_",0,58,0,18
"2237","Dermacoccus_sp._Ellin185_",0,58,0,18
"1575","Desulfarculus_baarsii_DSM_2075_",28,28,0,0
"3488","Desulfarculus_baarsii_DSM_2075_",28,28,0,0
"1015","Desulfatibacillum_alkenivorans_AK-01_",37,37,0,18
"2928","Desulfatibacillum_alkenivorans_AK-01_",37,37,0,18
"1848","Desulfitobacterium_dehalogenans_ATCC_51507_",53,53,0,0
"3761","Desulfitobacterium_dehalogenans_ATCC_51507_",53,53,0,0
"264","Desulfitobacterium_hafniense_Y51_",69,69,0,0
"2177","Desulfitobacterium_hafniense_Y51_",69,69,0,0
"313","Desulfobacterium_autotrophicum_HRM2_",67,74,7,24
"2226","Desulfobacterium_autotrophicum_HRM2_",67,74,7,24
